"","Словарная статья","Жест","Тип жеста","H1 Выбранные пальцы","H1 Сгиб","H1 Апертура","H1 Ширина","H1 Невыбранные пальцы","H1 Фокус","Ориентация H1 к H2","H2 Выбранные пальцы","H2 Сгиб","H2 Апертура","H2 Ширина","H2 Невыбранные пальцы","Ориентация H2 к H1"
"209","15059--сварщик--MVI_8652.eaf","сварщик","Type 3","thumb/4-th","straight","","","flexed","ulnar","ulnar","all","straight","","pointed","","palm"
"210","15149--ветряная мельница--MVI_8830.eaf","ветряк","Type 3","all","straight","","wide","","","palm","1-st","straight","","","flexed","tips"
"211","15185--внутри--MVI_8895.eaf","внутри","Type 3","1-st","straight","","","flexed","tips","back","all","straight","","pointed","","palm"
"214","15186--без--MVI_8898.eaf","без2","Type 2","1-st/2-nd","straight","","pointed","flexed","palm","ulnar/back","1-st/2-nd","straight","","pointed","flexed","radial"
"215","15196--замечательный--MVI_8929.eaf","замечательный","Type 3","thumb/1-st","straight","","","flexed","ulnar","ulnar","all","straight","","pointed","","palm"
"216","15206--слово--MVI_8947.eaf","слово","Type 3","1-st","curved","open","","flexed","ulnar","ulnar","1-st","straight","","","flexed","back"
"217","15211--работать--MVI_8956.eaf","делать","Type 2","all","fist","","","","ulnar","ulnar","all","fist","","","","radial"
"218","15266--писать--MVI_9050.eaf","писать","Type 3","all","bent","closed","","","ulnar","palm","all","straight","","pointed","","palm"
"219","15288--нить; пряжа--MVI_9100.eaf","пряжа","Type 3","1-st","curved_around","","","flexed","","tips","all","curved","open","wide","","palm"
"220","15316--йо-йо--MVI_9153.eaf","йо-йо","Type 3","all","curved","closed","","","back/palm","palm","all","straight","","pointed","","palm"
"221","15325--молния--MVI_9171.eaf","молния","Type 2","1-st","curved_around","","","flexed","radial/ulnar","ulnar","1-st","curved_around","","","flexed","radial"
"222","1581--Можно я открою окно--MVI_2119.eaf","открыть","Type 2","all","straight","","pointed","","","palm/root","all","straight","","pointed","","back"
"223","1637--Сдача неверная.--MVI_2195.eaf","сдача(1слог) ","Type 2","1-st/2-nd","straight","","pointed","flexed","back","ulnar","1-st/2-nd","straight","","pointed","flexed","back"
"224","1714--морская рыба--MVI_2286.eaf","рыба","Type 2","all","straight","","pointed","","","ulnar","all","straight","","pointed","","radial"
"225","1758--разъём PS;2--MVI_2347.eaf","разъем","Type 3","all","curved","closed","","","radial","radial","all","straight","","pointed","","palm"
"226","1823--Пожалуйста, помогите мне--MVI_2427.eaf","помогать","Type 2","all","straight","","pointed","","radial","radial","all","straight","","pointed","","ulnar"
"227","1850--Убери!--MVI_2460.eaf","убери","Type 2","all","straight","","pointed","","palm","ulnar","all","straight","","pointed","","palm"
"228","1922--сим-карта (2)_3g2_Output_95.eaf","симкарта","Type 3","1-st/2-nd","straight","","pointed","flexed","tips","palm","all","straight","","pointed","","palm"
"229","2060--Прекратите писать--MVI_0314.eaf","прекратить","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","back"
"230","2141--ассоциация издателей--MVI_0409_converted_3g2_Output_111.eaf","издавать","Type 3","all","fist","","","","palm","palm","all","straight","","pointed","","palm"
"232","2358--Какая у тебя машина--MVI_0692_converted_3g2_Output_329.eaf","марка?","Type 3","1-st/2-nd","straight","","pointed","flexed","palm","palm","all","straight","","pointed","","palm"
"233","2370--Который час--MVI_0706_converted_3g2_Output_340.eaf","время","Type 3","1-st","straight","","","flexed","tips","tips","all","fist","","","","back"
"234","2389--Как твое жестовое имя--MVI_9358.eaf","жестовое имя 1 слог","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"235","2389--Как твое жестовое имя--MVI_9358.eaf","жестовое имя 2 слог","Type 3","all","fist","","","","palm","palm","all","straight","","pointed","","palm"
"236","2408--Если ты пропустил, то должен принести справку.--MVI_0758_converted_3g2_Output_379.eaf","пропустить","Type 3","1-st","curved_around","","","flexed","palm","radial","all","straight","","pointed","","palm"
"237","2454--Где метро--MVI_0828_converted_3g2_Output_422.eaf","метро","Type 3","all","fist","","","","ulnar","back","all","straight","","pointed","","palm"
"238","2568--Ютьюб (Youtube)--MVI_1001_3g2_Output_528 - копия.eaf","youtube","Type 3","thumb/4-th","straight","","","flexed","","palm","all","straight","","pointed","","palm"
"239","2601--аборт--MVI_1039_3g2_Output_560.eaf","аборт","Type 3","all","curved","","pointed","","palm","tips","all","straight","","pointed","","palm"
"240","2603--выше--MVI_1042_3g2_Output_563.eaf","выше","Type 2","all","straight","","pointed","","back","radial","all","straight","","pointed","","palm"
"241","2605--шкурение--MVI_1044_3g2_Output_565.eaf","","Type 3","all","curved","","wide","","palm/root","palm","all","straight","","pointed","","palm"
"243","2690--признание--MVI_1161_3g2_Output_650.eaf","признание","Type 3","thumb/1-st/2-nd","straight","","wide","flexed","palm","palm","all","straight","","pointed","","palm"
"244","2707--акриловая живопись--MVI_1181_3g2_Output_666.eaf","рисовать.акриловой.краской","Type 3","all","fist","","","","root","palm","all","straight","","pointed","","palm"
"245","2755--дополнительный.eaf","дополнительный","Type 3","all","bent","closed","","","palm","palm","all","straight","","pointed","","radial"
"246","2880--впереди.eaf","впереди","Type 2","thumb","straight","","","flexed","tips","palm","thumb","straight","","","flexed","palm"
"247","2961--аллергия.eaf","аллергия","Type 3","all","curved","","wide","","radial","palm","all","straight","","pointed","","back"
"248","2978--почти.eaf","почти","Type 3","1-st","curved","open","","flexed","ulnar","ulnar","1-st","straight","","","flexed","back"
"249","3074--якорь.eaf","цепь","Type 2","1-st","curved","closed","","straight","back","palm","1-st","curved","closed","","straight","palm"
"250","3170--кроме--кроме.eaf","кроме","Type 2","thumb","straight","","","flexed","tips","radial","thumb","straight","","","flexed","radial"
"251","3178--извиняться--извиняться.eaf","извиняться","Type 2","all","straight","","pointed","","root","palm","all","straight","","pointed","","palm"
"252","3223--подходить--подходить.eaf","рядом","Type 2","thumb","straight","","","flexed","palm","palm","thumb","straight","","","flexed","palm"
"253","3224--подходящий--подходящий.eaf","подходящий","Type 2","1-st","straight","","","flexed","tips","tips","1-st","straight","","","flexed","tips"
"254","3228--приблизительный--приблизительный.eaf","приблизительный","Type 2","all","straight","","pointed","","back","back","all","straight","","pointed","","palm"
"255","3248--архиепископ--архиепископ.eaf","римский?","Type 2","1-st/2-nd","straight","","pointed","flexed","","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"257","3289--прибытие поезда--прибытие поезда.eaf","поезд","Type 2","1-st/2-nd","straight","","pointed","flexed","","palm","1-st/2-nd","straight","","pointed","flexed","palm"
"258","3370--идиот--идиот.eaf","отставать","Type 2","thumb","straight","","","flexed","root","tips","thumb","straight","","","flexed","root"
"259","3420--атмосферное давление--атмосферное давление.eaf","давление","Type 2","all","curved","","pointed","","palm","palm","all","curved","","pointed","","palm"
"260","3437--посещать--посещать.eaf","посещать","Type 3","1-st/2-nd","curved","","wide","flexed","","palm","1-st/2-nd","straight","","pointed","flexed","back"
"261","3512--средний--средний.eaf","средний","Type 2","all","curved","","wide","","ulnar","tips","all","curved","","wide","","tips"
"262","3616--булочная--булочная.eaf","булочка","Type 3","all","curved","open","wide","","","palm","all","straight","","pointed","","palm"
"263","3645--запрещать--запрещать.eaf","запрещать","Type 3","1-st","straight","","","flexed","ulnar","ulnar","all","straight","","pointed","","palm"
"264","3651--ленточнопильный станок--ленточнопильный станок.eaf","пила","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","tips"
"265","3655--банк--банк.eaf","банк","Type 2","all","straight","","wide","","palm","palm","all","straight","","wide","","back"
"267","3672--голый--голый.eaf","голый","Type 3","2-nd","bent","","","straight","ulnar","palm","all","straight","","pointed","","back"
"268","369--здесь можно припарковаться--MVI_0746.eaf","припарковаться","Type 3","1-st/4-th","straight","","","flexed","ulnar","ulnar","all","straight","","pointed","","back"
"269","3691--барьер--барьер.eaf","барьер","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"270","3695--основание--основание.eaf","основание","Type 2","all","straight","","wide","","palm","palm","all","straight","","wide","","back"
"272","3759--Быть не в себе--.eaf","","Type 2","all","curved","open","wide","","","palm","all","curved","open","wide","","palm"
"273","3811--жук--.eaf","жук","Type 3","all","curved","","wide","","tips","palm","all","straight","","pointed","","back"
"274","3815--начинать--.eaf","начинать","Type 3","1-st","straight","","","flexed","tips","back","all","straight","","pointed","","palm"
"276","3988--блендер--блендер.eaf","","Type 3","1-st","straight","","","flexed","","tips","all","curved","open","pointed","","radial"
"277","4011--кровь--кровь.eaf","","Type 2","all","straight","","pointed","","root","palm","all","straight","","pointed","","palm"
"278","4017--тонометр--тонометр.eaf","измерительный прибор","Type 3","1-st","straight","","","flexed","","root","all","fist","","","","back"
"281","4049--стена обшитая вагонкой--стена обшитая вагонкой.eaf","стена","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
"282","4071--наглость--наглость.eaf","наглость","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"283","4075--бомбить--бомбить.eaf","бомбить","Type 3","1-st","straight","","","flexed","back","radial","1-st/4-th","straight","","","flexed","palm"
"284","4080--кость--кость.eaf","кость","Type 2","1-st/2-nd","curved","","wide","flexed","ulnar","ulnar","1-st/2-nd","curved","","wide","flexed","radial"
"285","4083--премия--премия.eaf","премия","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"286","4093--книгопечатание--книгопечатание.eaf","книги","Type 2","all","straight","","pointed","","back","palm","all","straight","","pointed","","palm"
"287","4111--бухгалтер--бухгалтер.eaf","считать1","Type 3","2-nd","bent","","","straight","","palm","all","straight","","pointed","","palm"
"288","4125--обувь--обувь.eaf","обувь","Type 2","all","curved","","wide","","palm","palm","all","curved","","wide","","back"
"289","4171--боксерская перчатка--боксерская перчатка.eaf","боксерская перчатка","Type 3","all","bent","","pointed","","ulnar","palm","all","fist","","","","tips"
"290","4176--браслет--браслет.eaf","браслет","Type 3","1-st","curved","open","","straight","","palm","all","straight","","pointed","","back"
"291","4186--тушить (мясо)--тушить (мясо).eaf","тушить","Type 3","1-st/2-nd/3-rd","straight","","wide","flexed","","tips","all","straight","","wide","","palm"
"292","4202--хлеб--хлеб.eaf","хлеб","Type 2","all","straight","","pointed","","root","ulnar","all","straight","","pointed","","palm"
"293","4230--давать взятку--давать взятку.eaf","давать взятку","Type 3","all","bent","closed","","","palm","palm","all","straight","","pointed","","palm"
"294","4269--брат--брат.eaf","брат","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"295","4273--коричневый--коричневый.eaf","коричневый","Type 2","all","fist","","","","","ulnar","all","fist","","","","radial"
"296","4289--пряжка--пряжка.eaf","пряжка","Type 2","1-st/2-nd","curved","","wide","flexed","","tips","1-st/2-nd","curved","","wide","flexed","tips"
"298","4394--покупать--покупать.eaf","покупать","Type 3","all","bent","closed","","","back","tips","all","straight","","pointed","","palm"
"300","4448--группа операторов.eaf","камера","Type 3","1-st/2-nd/3-rd","straight","","wide","flexed","back","ulnar","all","straight","","pointed","","radial"
"301","4456--территория кемпинга--территория кемпинга.eaf","территория","Type 2","all","straight","","pointed","","radial","palm","all","straight","","pointed","","back"
"302","4520--капот--капот.eaf","капот","Type 3","all","bent","","pointed","","back","palm","all","straight","","pointed","","back"
"303","4542--карты--карты.eaf","карты","Type 2","1-st","curved_around","","","flexed","","ulnar","1-st","curved_around","","","flexed","radial"
"304","4572--морковка--.eaf","морковка","Type 2","1-st","straight","","","flexed","back","ulnar","1-st","straight","","","flexed","radial"
"305","4629--прекращать--прекращать.eaf","прекращать","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","palm","1-st/2-nd","straight","","pointed","flexed","tips"
"306","4653--центр--центр.eaf","центр","Type 3","2-nd","bent","","","straight","palm","palm","all","straight","","pointed","","palm"
"307","4734--преследовать--преследовать.eaf","преследовать","Type 2","thumb","straight","","","flexed","tips","tips","thumb","straight","","","flexed","root"
"308","4742--дешёвый--дешёвый.eaf","дешевый","Type 3","1-st","straight","","","flexed","palm","radial","all","straight","","pointed","","palm"
"309","4743--обманывать--обманывать.eaf","обманывать","Type 3","1-st/4-th","straight","","","flexed","palm","palm","all","straight","","pointed","","radial"
"310","4753--сыр--сыр.eaf","сыр","Type 3","1-st","curved","closed","","straight","root","radial","all","straight","","pointed","","palm"
"311","4767--аптекарь--аптекарь.eaf","аптекарь","Type 3","all","fist","","","","back","ulnar","all","straight","","pointed","","palm"
"312","4781--жевать--жевать.eaf","жевать","Type 2","all","fist","","","","","palm","all","fist","","","","palm"
"313","4839--шоколад--шоколад.eaf","шоколад","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","palm","1-st/2-nd","straight","","pointed","flexed","back"
"315","488--Любопытный Джордж--MVI_0869.eaf","любопытный","Type 3","1-st","straight","","","flexed","palm","radial","all","straight","","pointed","","palm"
"316","4884--циркулярная пила--циркулярная пила.eaf","циркулярная пила","Type 3","all","straight","","wide","","","palm","1-st","straight","","","flexed","tips"
"317","4925--чистый--чистый.eaf","чистый","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
"318","4966--часы--часы.eaf","часы","Type 3","1-st","straight","","","flexed","","palm","all","fist","","","","back"
"319","4970--близкий--близкий.eaf","близкий","Type 2","all","bent","","pointed","","palm","palm","all","bent","","pointed","","back"
"320","513--Глухие опережают--MVI_0886.eaf","опережать","Type 2","thumb","straight","","","flexed","tips","palm","thumb","straight","","","flexed","palm"
"321","5165--ездить из дома в пригороде на работу в город--ездить из дома в пригороде на работу в город.eaf","ездить туда и обратно","Type 3","1-st","straight","","","flexed","ulnar","radial","all","straight","","pointed","","palm"
"322","5178--циркуль--циркуль.eaf","циркуль","Type 3","1-st/2-nd","straight","","wide","flexed","","tips","all","straight","","pointed","","palm"
"323","5241--компьютер--компьютер.eaf","компьютер","Type 2","all","straight","open","pointed","","radial","root","all","straight","open","pointed","","back"
"324","5248--компьютерная программа--компьютерная программа.eaf","","Type 2","all","straight","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"325","5248--компьютерная программа--компьютерная программа.eaf","","Type 2","all","straight","","pointed","","ulnar","back","all","straight","","pointed","","palm"
"327","5273--цемент--цемент.eaf","цемент","Type 3","all","fist","","","","","palm","all","straight","","pointed","","palm"
"328","5308--подтверждать--подтверждать.eaf","подтверждать","Type 3","all","fist","","","","ulnar","ulnar","all","straight","","pointed","","palm"
"329","5328--соединять--соединять.eaf","соединить1","Type 2","1-st","curved","","","flexed","palm","palm","1-st","curved","","","flexed","palm"
"330","5329--соединение--соединение.eaf","соединить2","Type 2","1-st","straight","","","flexed","palm","palm","1-st","straight","","","flexed","palm"
"332","5340--консерватор--консерватор.eaf","","Type 2","all","curved","closed","","","tips","tips","all","curved","closed","","","tips"
"333","5354--постоянный--постоянный.eaf","","Type 3","3-rd","curved","closed","","straight","back","palm","all","straight","","pointed","","palm"
"334","5354--постоянный--постоянный.eaf","","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"335","5363--ограничение--ограничение.eaf","ограничение","Type 2","all","straight","","pointed","","tips","tips","all","straight","","pointed","","palm"
"336","5367--строительный кран--строительный кран.eaf","строительный кран","Type 2","1-st","curved","","","flexed","ulnar","root","1-st","curved","","","flexed","back"
"338","5469--вельвет--вельвет.eaf","вельвет","Type 2","all","straight","","pointed","","palm","tips","all","straight","","pointed","","palm"
"339","5473--пробка--пробка.eaf","пробка","Type 3","thumb","bent","","","flexed","tips","tips","all","fist","","","","radial"
"340","5474--штопор--штопор.eaf","штопор","Type 2","all","fist","","","","","radial","all","fist","","","","palm"
"341","5490--исправлять--исправлять.eaf","исправлять","Type 3","1-st/2-nd","bent","closed","","flexed","radial","palm","1-st/2-nd","straight","","pointed","flexed","radial"
"342","5517--хлопчатобумажный--хлопчатобумажный.eaf","хлопок","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"343","5532--считать--2.eaf","считать2","Type 3","2-nd","bent","","","straight","tips","tips","all","straight","","pointed","","palm"
"344","5574--трус--трус.eaf","трус","Type 3","1-st/2-nd","curved","","wide","flexed","ulnar","tips","all","straight","","pointed","","palm"
"345","5598--карандаш--карандаш.eaf","карандаш","Type 2","1-st","straight","","","flexed","ulnar","palm","1-st","straight","","","flexed","back"
"346","562--У вас есть страховка на госпитализацию--MVI_0950.eaf","госпитализация","Type 3","1-st/2-nd","straight","","wide","flexed","tips","ulnar","all","straight","","pointed","","palm"
"348","5648--вышитый вязаный крючком--.eaf","вязать крючком","Type 3","1-st","curved","","","flexed","root","tips","all","curved","closed","","","radial"
"349","5664--крест--крест.eaf","крест","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"350","5675--перекресток--перекресток.eaf","перекресток","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"351","5688--распинать на кресте--распинать на кресте.eaf","","Type 3","1-st","straight","","","flexed","tips","tips","all","straight","","pointed","","palm"
"352","5688--распинать на кресте--распинать на кресте.eaf","","Type 3","all","fist","","","","palm","palm","all","straight","","pointed","","palm"
"353","5726--чашка--чашка.eaf","чашка","Type 3","1-st","curved","open","","flexed","","root","all","straight","","pointed","","palm"
"354","576--Ты любишь смотреть телевизор--MVI_0969.eaf","","Type 3","2-nd","bent","","","straight","palm","palm","all","straight","","pointed","","back"
"355","5802--урон; ущерб--урон; ущерб.eaf","ущерб","Type 2","1-st","curved_around","","","flexed","","radial","1-st","curved_around","","","flexed","radial"
"356","5829--рывок--рывок.eaf","рывок","Type 3","1-st","straight","","","flexed","tips","palm","all","straight","","wide","","radial"
"357","5881--долг--долг.eaf","долг","Type 2","1-st/2-nd","straight","","pointed","flexed","back","palm","1-st/2-nd","straight","","pointed","flexed","back"
"358","5890--обман--.eaf","обман","Type 2","1-st/4-th","straight","","","flexed","ulnar","palm","1-st/4-th","straight","","","flexed","back"
"360","5945--дефицит  недостаток--.eaf","дефицит","Type 3","all","curved","","wide","","palm","tips","all","straight","","pointed","","palm"
"362","6029--порочность, безнравственность--порочность, безнравственность.eaf","порочность","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"363","6031--психологически подавлять--психологически подавлять.eaf","подавлять","Type 3","all","bent","closed","","","ulnar","tips","all","straight","","pointed","","palm"
"364","6036--лишать--лишать.eaf","лишать","Type 2","1-st/2-nd","straight","","pointed","flexed","","ulnar/back","1-st/2-nd","straight","","pointed","flexed","radial"
"365","6050--пустыня--пустыня.eaf","ровный","Type 2","all","straight","","pointed","","ulnar","radial","all","straight","","pointed","","ulnar"
"366","6070--отчаяться--отчаяться.eaf","отчаяться","Type 2","all","straight","","pointed","","palm","palm","all","straight","","pointed","","palm"
"367","6083--разъединять отделять--разъединять отделять.eaf","отделять","Type 2","all","straight","","pointed","","palm/back","ulnar","all","straight","","pointed","","back"
"368","6084--отдельный--отдельный.eaf","отдельный","Type 2","all","straight","","pointed","","back","palm","all","straight","","pointed","","back"
"369","6087--подробный--подробный.eaf","подробный","Type 2","1-st","curved","closed","","straight","back","palm","1-st","curved","closed","","straight","palm"
"370","6094--ухудшаться--ухудшаться.eaf","ухудшаться","Type 2","all","straight","","pointed","","palm","radial","all","straight","","pointed","","palm"
"371","6145--нарезать кубиками--нарезать кубиками.eaf","нарезать3","Type 2","all","straight","","pointed","","ulnar/back","ulnar","all","straight","","pointed","","palm"
"372","616--е-коммерция--MVI_1013.eaf","коммерция","Type2","all","straight","","wide","","","root","all","straight","","pointed","","back"
"373","6210--диплом--диплом.eaf","диплом","Type 3","all","fist","","","","palm","palm","all","straight","","pointed","","palm"
"374","6250--рассоединять--рассоединять.eaf","рассоединять","Type 3","1-st","curved_around","","","flexed","root","tips","all","straight","","pointed","","palm"
"375","6256--обнаруживать--обнаруживать.eaf","обнаруживать","Type 3","2-nd","curved","open","","straight","palm","palm","all","fist","","","","back"
"376","6273--чувствовать отвращение--чувствовать отвращение.eaf","","Type 3","1-st/2-nd","curved","","wide","flexed","tips","tips","all","straight","","pointed","","palm"
"377","6283--мытье посуды--мытье посуды.eaf","мыть посуду","Type 3","all","fist","","","","","palm","all","straight","","pointed","","palm"
"378","6304--оспаривать--оспаривать.eaf","","Type 2","all","fist","","","","radial","palm","all","fist","","","","palm"
"379","6306--неуважение--неуважение.eaf","","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"380","6318--выделять--выделять.eaf","","Type 3","1-st","straight","","","flexed","back","tips","all","straight","","pointed","","palm"
"381","6332--беспокоить--беспокоить.eaf","беспокоить1","Type 3","1-st","curved","","","flexed","tips","tips","all","straight","","pointed","","palm"
"382","6332--беспокоить--беспокоить.eaf","беспокоить2","Type 2","1-st/2-nd","straight","","pointed","flexed","ulnar","ulnar","1-st/2-nd","straight","","pointed","flexed","radial"
"383","6342--разделять--2.eaf","","Type 3","all","bent","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"384","6342--разделять--2.eaf","","Type 2","all","straight","","pointed","","ulnar","ulnar","all","straight","","pointed","","palm"
"385","6348--трамплин для прыжков в воду--трамплин для прыжков в воду.eaf","трамплин","Type 2","1-st/2-nd","straight","","pointed","flexed","","palm","1-st/2-nd","straight","","pointed","flexed","back"
"386","6401--доминировать--доминировать.eaf","доминировать","Type 3","thumb","straight","","","flexed","tips","ulnar","all","straight","","pointed","","palm"
"388","6430--двойной клик--двойной клик.eaf","два раза","Type 3","1-st/2-nd","straight","","wide","flexed","ulnar","back","all","fist","","","","back"
"389","6465--рисовать--рисовать.eaf","рисовать","Type 3","1-st/2-nd","straight","","pointed","flexed","root","back","all","straight","","pointed","","palm"
"390","6466--ничья--ничья.eaf","ничья","Type 2","1-st","straight","","","flexed","ulnar","ulnar","1-st","straight","","","flexed","radial"
"391","6515--выбыть, отсеяться--выбыть, отсеяться.eaf","выбывать","Type 3","1-st/2-nd","curved","","wide","flexed","back/palm","palm","all","straight","","pointed","","palm"
"392","6519--засуха--засуха.eaf","засуха","Type 2","all","fist","","","","radial","palm","all","fist","","","","palm"
"393","6520--утонуть--утонуть.eaf","утонуть","Type 3","1-st/2-nd","straight","","wide","flexed","root","back","all","straight","","pointed","","palm"
"394","6588--каждый--каждый.eaf","каждый","Type 2","thumb","straight","","","flexed","ulnar","palm","thumb","straight","","","flexed","palm"
"395","6605--зарабатывать--зарабатывать.eaf","зарабатывать","Type 3","all","curved","","wide","","ulnar","back","all","straight","","pointed","","palm"
"396","6616--восток--восток.eaf","восток","Type 3","1-st","curved","closed","","straight","back","radial","all","straight","","pointed","","ulnar"
"397","6649--обучать--обучать.eaf","обучать","Type 3","1-st/2-nd","bent","closed","","flexed","palm","palm","all","straight","","pointed","","radial"
"398","6720--электричествo--электричествo.eaf","электричество","Type 3","thumb","straight","","","straight","radial","radial","all","straight","","pointed","","palm"
"401","6766--сбежать--сбежать.eaf","сбежать2","Type 2","all","straight","","pointed","","ulnar","palm","all","straight","","pointed","","palm"
"403","6848--гравировать--гравировать.eaf","гравировать","Type 3","thumb","straight","","","flexed","radial","palm","all","straight","","pointed","","palm"
"404","6864--активный--активный.eaf","активный","Type 2","all","straight","","pointed","","back","back","all","straight","","pointed","","palm"
"406","6874--конверт--конверт.eaf","","Type 2","all","straight","","pointed","","","back","all","straight","","pointed","","palm"
"407","6916--ластик--ластик.eaf","ластик","Type 3","1-st/2-nd","bent","closed","","flexed","ulnar","palm","all","straight","","pointed","","palm"
"408","6922--вкладыш с опечатками--вкладыш с опечатками.eaf","вкладывать","Type 3","all","straight","","pointed","","ulnar","back","all","straight","open","pointed","","palm"
"409","6937--основывать--основывать.eaf","основывать","Type 3","thumb","straight","","","flexed","radial/ulnar","ulnar","all","straight","","pointed","","palm"
"410","6946--и т.д.--.eaf","и т.д.","Type 2","all","straight","","wide","","root","tips","all","straight","","wide","","tips"
